step,attempts_test,completions_test,completion_rate_test,attempts_control,completions_control,completion_rate_control,dropoff_test,dropoff_control
confirm,21505,17742,0.8250174378051616,17738,14771,0.8327319878227534,0.17498256219483843,0.16726801217724663
start,33018,33018,1.0,30793,30793,1.0,0.0,0.0
step_1,33018,27885,0.8445393421769943,30793,23169,0.7524112622998733,0.15546065782300567,0.24758873770012668
step_2,27885,23974,0.859745382822306,23169,19677,0.8492813673442963,0.14025461717769405,0.15071863265570373
step_3,24003,21467,0.8943465400158314,19688,17659,0.8969422998780984,0.10565345998416864,0.10305770012190163
